Date,Open,High,Low,Close,Volume
2022-07-14,230,230,199.9,201.05,3636
2022-07-15,207.5,245,207.5,238,750
2022-07-18,238,252,231,231.1,601
2022-07-19,231.2,231.2,205.05,212,923
2022-07-20,216,229,212,218.95,702
2022-07-21,220,220,207.1,207.1,219
2022-07-22,207.1,207.1,193,195.5,1623
2022-07-25,193,193,177,185.4,1087
2022-07-26,182.3,182.3,163,170,517
2022-07-27,170,170,170,170,148
2022-07-28,169.98,188,166,174.5,138
2022-07-29,181.5,181.5,168,169,419
2022-08-01,177.82,177.82,168,169,133
2022-08-02,173,174.5,155,174.5,797
2022-08-03,167,187,167,180,91
2022-08-04,171.2,187,171.2,181,135
2022-08-05,187,187,181,186.5,34
2022-08-08,186.5,190,186.5,190,83
2022-08-09,181.1,181.1,180,180,334
2022-08-10,180.04,180.04,180.04,180.04,16
2022-08-11,180.06,184,180,184,163
2022-08-12,180,187,175,181,302
2022-08-16,186,193,180.2,193,929
2022-08-17,194.88,200,194.88,200,85
2022-08-18,200,223,200,215,19
2022-08-19,215,215,215,215,11
2022-08-23,205,205,195,201.9,52
2022-08-24,201.9,201.9,201.9,201.9,10
2022-08-25,201,201,190.1,200,98
2022-08-26,200,200,191.4,191.4,13
2022-08-29,199,199,190.1,190.1,83
2022-08-30,188,197,187.1,188,56
2022-08-31,192,196.3,187,196.3,109
2022-09-01,192,195,187,194.9,88
2022-09-02,190,190,187,190,23
2022-09-06,190,190,188,188,42
2022-09-07,190,190,190,190,3
2022-09-08,190,195,190,195,3
2022-09-09,195,195,195,195,5
2022-09-12,197,204,188,188,58
2022-09-13,195,195,195,195,10
2022-09-14,199.8,199.8,191,192,15
2022-09-15,191,191,187,187,27
2022-09-16,190,193,186,193,17
2022-09-19,193,202,193,202,45
2022-09-21,202,202,202,202,27
2022-09-22,204,211,204,211,46
2022-09-23,210,211,202,202,27
2022-09-26,202,202,193,193,57
2022-09-27,195,195,195,195,5
2022-09-30,195.02,195.02,195.02,195.02,1
2022-10-03,200,202,200,202,10
2022-10-04,202,202,202,202,1
2022-10-05,201.95,201.95,195,195,8
2022-10-06,199.8,200,199.8,200,100
2022-10-07,200,200,199.98,200,54
2022-10-10,199.98,200,199.98,200,100
2022-10-11,200,205,200,205,241
2022-10-12,200,203,200,200,192
2022-10-13,199.98,200,199.98,200,13
2022-10-14,199.98,199.98,199.98,199.98,25
2022-10-17,199.98,199.98,199.98,199.98,1
2022-10-19,199.98,200,199.98,200,25
2022-10-20,203.95,203.95,196,196,57
2022-10-21,196,196,196,196,5
2022-10-24,199.98,200,199.98,200,52
2022-10-26,200,200,200,200,1
2022-10-31,197.02,197.02,197.02,197.02,20
2022-11-02,199.98,199.98,192,197.02,25
2022-11-04,191,191,185.1,185.1,20
2022-11-07,192,192,192,192,3
2022-11-08,186,190,182,190,15
2022-11-10,188.5,192.5,188.5,190,19
2022-11-14,190,190,190,190,2
2022-11-15,191,191,188,188,39
2022-11-16,187,187,187,187,3
2022-11-17,186,186,185,185,79
2022-11-18,185.5,190,185,189,60
2022-11-21,185,189,178,185,268
2022-11-22,184,184,175,182.9,100
2022-11-23,183,183,179,179,13
2022-11-24,180.1,180.1,177.5,177.5,126
2022-11-25,182,182,182,182,5
2022-11-28,182,182,178,178,104
2022-11-30,181,182.7,178,178,17
2022-12-01,182,182.8,182,182.8,8
2022-12-05,180.02,180.02,179,179,250
2022-12-06,178.38,181.2,178.38,181.2,8
2022-12-07,181.34,181.34,181.34,181.34,1
2022-12-09,180,180,180,180,4
2022-12-14,178.4,178.4,175,178,102
2022-12-15,172,172,170,171,41
2022-12-16,174.9,177,174.9,177,7
2022-12-19,177,177,170.5,170.5,21
2022-12-20,170,170,157.98,157.98,509
2022-12-21,159,168,159,168,36
2022-12-22,168,168,168,168,6
2022-12-23,168,181.8,168,181.8,54
2022-12-27,198,198,176,176,108
2022-12-28,176,180,176,180,35
2022-12-29,176.1,180,170,177,1079
2022-12-30,174,175,170,175,98
2023-01-02,176,179,175,175.5,13
2023-01-03,178,187.8,178,187.8,89
2023-01-05,178.02,185,178.02,184.9,23
2023-01-09,184.9,184.98,180,180,45
2023-01-10,179,179,177.5,177.5,15
2023-01-11,180,180,179.98,179.98,8
2023-01-12,182,182,172,172,951
2023-01-13,171.7,172,171,171,9
2023-01-16,171,171,163.5,163.5,17
2023-01-17,165.1,165.1,162.9,162.9,160
2023-01-18,169.9,169.98,161.9,161.9,300
2023-01-19,164,164,160,163,236
2023-01-20,163,163,163,163,1
2023-01-23,170,171,170,171,14
2023-01-24,170,170,166,166,28
2023-01-25,173,173,160,160,625
2023-01-26,161.5,162,161,161,244
2023-01-27,160.5,161,160,160,1636
2023-01-30,162,166,162,166,17
2023-01-31,170,172,160,166.5,845
2023-02-01,167,172,162,163,199
2023-02-02,163,166,163,165.5,2335
2023-02-03,166.5,169.5,166.5,169.5,19
2023-02-06,175,220,175,204,1164
2023-02-07,190,200,183,190,178
2023-02-08,184,190,180,188,284
2023-02-09,183.5,193,180,193,181
2023-02-10,195,195,180.5,190,455
2023-02-13,189,189,188.5,188.5,12
2023-02-14,184.5,188.5,182,188.5,116
2023-02-15,188.5,188.5,188.5,188.5,118
2023-02-16,193,204,188.5,200,346
2023-02-17,202,204,202,204,288
2023-02-20,204,208,204,206,162
2023-02-21,207,208,199,199,174
2023-02-22,199.5,206,192,192,459
2023-02-23,198,198,195,195,226
2023-02-24,195.5,200,190,190.5,72
